company_name,tagline,domain,website,created_at,votes_count,reviews_count,thumbnail,tags
Lunacal,Stunning scheduling pages like you’ve never seen before,www.producthunt.com/r/QXDOBOL7KXCYP5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/QXDOBOL7KXCYP5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,247,0,https://ph-files.imgix.net/519bc731-c41a-413a-8d57-013357e7a02c.x-icon?auto=format,"Productivity, Sales, Marketing"
Folderly AI,AI-generated emails that hit the inbox and get replies,www.producthunt.com/r/TOIMAOCC3QQSPJ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/TOIMAOCC3QQSPJ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,242,0,https://ph-files.imgix.net/b5933901-3d26-4061-a590-27aa27f2b5cd.jpeg?auto=format,"Email, Sales, Email Marketing"
Minicule,Use AI to visualize biomedical knowledge,www.producthunt.com/r/SNZ7C3FIZ56KCL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/SNZ7C3FIZ56KCL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,220,0,https://ph-files.imgix.net/43083547-54a7-42af-abda-f2ddf78fda60.png?auto=format,"SaaS, Data Science, Data Visualization"
Dory,An app switcher for people who can’t remember shortcuts,www.producthunt.com/r/FMUO7KV3DXDCGW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/FMUO7KV3DXDCGW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,217,0,https://ph-files.imgix.net/582b5ac2-42f8-4113-b31a-a03871d026b8.png?auto=format,"Productivity, Menu Bar Apps"
Fabi.ai Workflows,AI-powered data workflows with SQL + Python in one platform,www.producthunt.com/r/GS37AH4L5LUO55?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/GS37AH4L5LUO55?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,200,0,https://ph-files.imgix.net/20487b6e-0f34-48bd-83b0-5a4c029d8a18.png?auto=format,"Analytics, Artificial Intelligence, Data & Analytics"
DemoDazzle,Create an interactive assistant that looks & sounds like you,www.producthunt.com/r/CLQDV3ZI4NB2HT?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/CLQDV3ZI4NB2HT?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,200,0,https://ph-files.imgix.net/2811d5d8-8f4d-466d-ae22-013867652a46.png?auto=format,"Sales, SaaS, Virtual Assistants"
Mindly ,Capture anything in seconds with automatic organization ,www.producthunt.com/r/MMSAIVNMBNFBG2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/MMSAIVNMBNFBG2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-07-01T07:01:00Z,196,0,https://ph-files.imgix.net/bdde1b18-4ec1-484b-8beb-55df8f56efa7.x-icon?auto=format,"Mac, Productivity, Artificial Intelligence"
Retainr.io,The client management platform that turns skills into profit,www.producthunt.com/r/HKAGTDMBJOK5TM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/HKAGTDMBJOK5TM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,176,0,https://ph-files.imgix.net/a50c9175-ee06-49a5-9fe7-62c533c7a898.png?auto=format,"Sales, Freelance, Monetization"
Bolt Connect,"Embedded marketplace payouts, designed for developers",www.producthunt.com/r/POHNR24A7OC6ZL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/POHNR24A7OC6ZL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-30T07:01:00Z,166,0,https://ph-files.imgix.net/a1951451-89da-4caf-b1bd-70438d8cf0b0.gif?auto=format,"Payments, SaaS, Developer Tools"
Byterover,Memory layer for your AI coding agents,www.producthunt.com/r/CFX2HX4JOUZWZS?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/CFX2HX4JOUZWZS?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-29T07:01:00Z,595,0,https://ph-files.imgix.net/6f3ee234-f512-4e07-bc9b-91aeea106881.png?auto=format,"Productivity, Developer Tools, Artificial Intelligence"
MyLens.ai,Visualize what matters in your content & ideas with AI,www.producthunt.com/r/6ZBAFH5PGNH5DS?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/6ZBAFH5PGNH5DS?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-29T07:01:00Z,572,0,https://ph-files.imgix.net/8e788784-78e4-4ff2-a04a-3036f1d1ec8c.png?auto=format,"Education, Artificial Intelligence, Data Visualization"
Oboe,High performance experimentation platform,www.producthunt.com/r/DQ4V2MNPO3PKT5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/DQ4V2MNPO3PKT5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-29T07:01:00Z,301,0,https://ph-files.imgix.net/da6ef467-9294-4bb6-bd51-dd63a547e96b.png?auto=format,"A/B Testing, Growth Hacking, Developer Tools"
Neura,Turn your voice notes into powerful AI-enhanced content.,www.producthunt.com/r/5GCJSVR4UXQX6F?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/5GCJSVR4UXQX6F?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-29T07:01:00Z,291,0,https://ph-files.imgix.net/f675ab61-6f3f-49ef-bcd9-8377b2353b47.png?auto=format,SaaS
Leavoo,"Time-off made simple, fast & Slack-native",www.producthunt.com/r/Y7GO5PAQA5DCWI?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,https://www.producthunt.com/r/Y7GO5PAQA5DCWI?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+LeadScoringTool+%28ID%3A+202539%29,2025-06-29T07:01:00Z,275,0,https://ph-files.imgix.net/db88347c-eb7b-4a27-a70a-4dda72fc6476.x-icon?auto=format,"Productivity, SaaS, Human Resources"
